"","Exposure","Missing: Nb. (%)",">LOD: Nb (%)","Overall","BiB","EDEN","INMA","KANC","RHEA","p value of equality between cohorts"
"1","As","373 (52.7)","179 (53.4)","1.1 (1.7)","1.4 (1.6)","1.4 (2.3)","NA","0.3 (0.0)","1.5 (2.1)","< 0.0001"
"2","Cd","373 (52.7)","334 (99.7)","0.2 (0.2)","0.2 (0.1)","0.2 (0.2)","NA","0.2 (0.1)","0.3 (0.2)","< 0.0001"
"3","Co","373 (52.7)","335 (100.0)","0.2 (0.2)","0.2 (0.5)","0.2 (0.2)","NA","0.2 (0.1)","0.2 (0.2)","0.139"
"4","Cs","373 (52.7)","335 (100.0)","1.4 (0.7)","1.1 (0.5)","1.9 (1.0)","NA","1.1 (0.5)","1.5 (0.6)","< 0.0001"
"5","Cu","373 (52.7)","335 (100.0)","1460 (350)","1505.0 (422.5)","1410.0 (277.5)","NA","1450.0 (345.0)","1480.0 (357.5)","0.076"
"6","Hg","191 (27.0)","507 (98.1)","2.6 (3.3)","0.9 (0.8)","3.0 (2.1)","3.9 (4.1)","0.7 (0.6)","3.0 (2.6)","< 0.0001"
"7","Mn","373 (52.7)","335 (100.0)","11.7 (5.7)","12.4 (6.1)","10.4 (4.8)","NA","13.7 (5.6)","10.8 (5.3)","< 0.0001"
"8","Mo","373 (52.7)","335 (100.0)","0.6 (0.3)","0.6 (0.2)","0.6 (0.2)","NA","0.5 (0.2)","0.7 (0.3)","< 0.0001"
"9","Pb","373 (52.7)","335 (100.0)","10.4 (6.5)","7.7 (5.9)","11.9 (6.9)","NA","10.9 (6.9)","10.1 (5.5)","0.009"
"10","Tl","373 (52.7)","5 (1.5)",NA,NA,NA,NA,NA,NA,NA
"11","DDE","87 (12.3)","620 (99.8)","917.5 (1229)","352.1 (958.4)","932.7 (879.6)","668.6 (560.1)","NA","1921.5 (2129.1)","< 0.0001"
"12","DDT","87 (12.3)","298 (48.0)","28.6 (50.8)","15.7 (30.2)","39.6 (50.5)","NA","NA","13.7 (51.2)","< 0.0001"
"13","HCB","87 (12.3)","611 (98.4)","131.2 (137.1)","61.1 (26.8)","140.0 (71.0)","237.3 (225.2)","NA","78.2 (56.8)","< 0.0001"
"14","PCB-118","87 (12.3)","401 (64.6)","36.5 (80.4)","18.5 (11.6)","103.8 (73.3)","79.3 (4.0)","NA","17.4 (11.4)","< 0.0001"
"15","PCB-138","87 (12.3)","583 (93.9)","116.4 (183.6)","40.1 (34.4)","357.8 (252.9)","109.0 (83.2)","NA","68.4 (53.4)","< 0.0001"
"16","PCB-153","87 (12.3)","617 (99.4)","217.5 (334.8)","95.8 (72.4)","700.8 (465.9)","203.8 (141.0)","NA","121.2 (99.8)","< 0.0001"
"17","PCB-170","305 (43.1)","400 (99.3)","64.7 (159.6)","13.1 (18.4)","196.6 (168.3)","NA","NA","35.4 (30.1)","< 0.0001"
"18","PCB-180","87 (12.3)","595 (95.8)","145.7 (253.9)","48.5 (55.2)","520.5 (419.5)","145.0 (100.0)","NA","69.4 (55.1)","< 0.0001"
"19","DEDTP","89 (12.6)","13 (2.1)",NA,NA,NA,NA,NA,NA,NA
"20","DEP","89 (12.6)","606 (97.9)","3.2 (5.6)","2.2 (2.5)","3.6 (5.9)","3.2 (4.8)","NA","2.8 (6.8)","0.025"
"21","DETP","89 (12.6)","330 (53.3)","0.3 (2.4)","0.2 (1.8)","0.9 (2.5)","0.1 (1.9)","NA","0.1 (2.6)","0.122"
"22","DMDTP","89 (12.6)","357 (57.7)","1.6 (6.2)","0.2 (0.0)","2.7 (7.0)","0.2 (4.7)","NA","3.4 (8.8)","< 0.0001"
"23","DMP","89 (12.6)","583 (94.2)","9.3 (13.7)","3.5 (4.0)","11.3 (16.6)","9.9 (12.9)","NA","8.9 (13.5)","< 0.0001"
"24","DMTP","89 (12.6)","564 (91.1)","5.2 (10.6)","1.5 (5.0)","6.4 (11.1)","5.0 (10.3)","NA","5.6 (13.8)","< 0.0001"
"25","PBDE-153","472 (66.7)","152 (64.4)","5.6 (8.6)","8.9 (7.6)","4.9 (7.7)","NA","NA","NA","< 0.0001"
"26","PBDE-47","304 (42.9)","266 (65.8)","6.7 (7.7)","5.4 (6.9)","5.9 (4.8)","NA","NA","17.5 (25.7)","< 0.0001"
"27","PFHXS","24 ( 3.4)","655 (95.8)","0.6 (0.7)","0.5 (0.6)","1.0 (0.8)","0.8 (0.5)","0.4 (0.2)","0.3 (0.2)","< 0.0001"
"28","PFNA","24 ( 3.4)","660 (96.5)","0.9 (0.7)","0.4 (0.3)","0.9 (0.5)","0.8 (0.5)","0.7 (0.4)","1.4 (0.8)","< 0.0001"
"29","PFOA","24 ( 3.4)","680 (99.4)","2.7 (2)","2.1 (1.2)","3.5 (1.7)","2.8 (1.9)","1.0 (0.9)","2.4 (1.4)","< 0.0001"
"30","PFOS","24 ( 3.4)","684 (100.0)","6.5 (5.5)","3.8 (3.4)","13.4 (9.8)","6.2 (3.8)","4.4 (2.4)","5.3 (2.7)","< 0.0001"
"31","PFUnDA","229 (32.3)","469 (97.9)","0.2 (0.2)","0.0 (0.1)","0.2 (0.1)","0.3 (0.3)","0.2 (0.1)","0.3 (0.2)","< 0.0001"
